U_ID,Seq_ID,Env_ID
AB_1002,WW.1Inf.Inf100,MA_TP1_05-21-10_RawInfluent
AC_1003,WW.2Inf.WW1D,MA_TP1_05-21-10_RawInfluent
AG_1007,WW.B.SA.dil,NA
AH_1008,WW.BP.Eff.4,NA
AI_1009,WW.CC.Qiagen.SA,NA
AL_1012,WW.F,NA
AM_1013,WW.H2O,NA
AN_1014,WW.H2O.1,NA
AO_1015,WW.H2O.10,NA
AP_1016,WW.H2O.11,NA
AQ_1017,WW.H2O.12,NA
AR_1018,WW.H2O.13,NA
AS_1019,WW.H2O.14,NA
AT_1020,WW.H2O.15,NA
AU_1021,WW.H2O.16,NA
AV_1022,WW.H2O.17,NA
AW_1023,WW.H2O.18,NA
AX_1024,WW.H2O.2,NA
AY_1025,WW.H2O.3,NA
AZ_1026,WW.H2O.4,NA
BA_1027,WW.H2O.5,NA
BB_1028,WW.H2O.6,NA
BC_1029,WW.H2O.7,NA
BD_1030,WW.H2O.8,NA
BE_1031,WW.H2O.9,NA
BF_1032,WW.H2O.D,NA
CL_1064,WW.Negative,NA
CM_1065,WW.PBS,NA
BY_1051,WW.NE2.GC2.Hose.7.10.69,MW_SI2_07-10-10_GolfCourseHose
AA_1001,WW.1Inf.1,MA_TP1_05-21-10_RawInfluent
AD_1004,WW.2Inf.WW1F,MA_TP1_05-21-09_PostScreeningInfluent
AE_1005,WW.Aug3.1Inf.7,MA_TP1_08-03-09_RawInfluent
AF_1006,WW.Aug3.2Inf.8,MA_TP1_08-03-09_PostScreeningInfluent
EN_1118,WW.Aug3.Effluent.9,MA_TP1_08-03-09_Effluent
FE_1135,WW.Dec09.EFF3.92,UNK_UNK_12-08-09_Effluent
AJ_1010,WW.Dec09.Eff6.91,UNK_UNK_12-08-09_Effluent
AK_1011,WW.Eff.2,MA_TP1_05-21-09_Effluent
BI_1035,WW.NE1.GC1.9.10.Pond.78combo,MW_SI1_09-01-10_GolfCoursePond
BS_1045,WW.NE1.WW1.9.10.Eff.77combo,MW_TP1_09-01-10_Effluent
BG_1033,WW.NE1.GC.Pond.7.10.65,MW_SI1_07-03-10_GolfCoursePond
BH_1034,WW.NE1.GC1.10.10.Pond.86,MW_SI1_10-01-10_GolfCoursePond
BJ_1036,WW.NE1.WW.2C.7.10.63,MW_TP1_07-03-10_SecondaryClarifier
BK_1037,WW.NE1.WW.Eff.7.10.64,MW_TP1_07-03-10_Effluent
BL_1038,WW.NE1.WW.Inf.7.10.61,MW_TP1_07-03-10_Influent
BM_1039,WW.NE1.WW.PA.7.10.62.1A,MW_TP1_07-03-10_PostAeration
BN_1040,WW.NE1.WW.PA.7.10.62.1B,MW_TP1_07-03-10_PostAeration
EY_1129,WW.NE1.WW.PA.7.10.62.2,MW_TP1_07-03-10_PostAeration
BO_1041,WW.NE1.WW1.10.10.Eff.85,MW_TP1_10-01-10_Effluent
BP_1042,WW.NE1.WW1.10.10.Inf.82,MW_TP1_10-01-10_Influent
BQ_1043,WW.NE1.WW1.10.10.PA.83,MW_TP1_10-01-10_PostAeration
BR_1044,WW.NE1.WW1.10.10.Sec.84,MW_TP1_10-01-10_SecondaryClarifier
BT_1046,WW.NE1.WW1.9.10.Inf.Inf75dil,MW_TP1_09-01-10_Influent
FA_1131,WW.NE1.WW1.9.10.Inf.Inf75,MW_TP1_09-01-10_Influent
BU_1047,WW.NE1.WW1.9.10.Post.76,MW_TP1_09-01-10_PostAeration
FC_1133,WW.NE2.WW2.10.10.Bcell.88.plus16hr,MW_TP2_10-01-10_CellB
FD_1134,WW.NE2.WW2.10.10.Eff.89combo,MW_TP2_10-01-10_Effluent
BV_1048,WW.NE2.AGR1.Pump.8.10.74,MW_SI2_08-01-10_AgriculturalSitePump
BW_1049,WW.NE2.GC2.10.10.Hose.90combo,MW_SI2_10-01-10_GolfCourseHose
BX_1050,WW.NE2.GC2.9.10.Hose.81,MW_SI2_09-01-10_GolfCourseHose
BZ_1052,WW.NE2.GC2.Hose.8.10.73,MW_SI2_08-01-10_GolfCourseHose
CA_1053,WW.NE2.ww2.10.10.Bcell.88.16hr,MW_TP2_10-01-10_CellB
CB_1054,WW.NE2.ww2.10.10.Bcell.88.plus16hr,MW_TP2_10-01-10_CellB
CC_1055,WW.NE2.WW2.10.10.Bcell.88combo,MW_TP2_10-01-10_CellB
CD_1056,WW.NE2.WW2.10.10.Inf.87,MW_TP2_10-01-10_Influent
CF_1058,WW.NE2.WW2.9.10.Eff.93,MW_TP2_09-01-10_Effluent
CE_1057,WW.NE2.WW2.9.10.cellB.80,MW_TP2_09-01-10_CellB
FB_1132,WW.NE2.WW2.9.10.Influent.79,MW_TP2_09-01-10_Influent
CG_1059,WW.NE2.WW2.CellB.7.10.68,MW_TP2_07-10-10_CellB
CH_1060,WW.NE2.WW2.CellB.8.10.71,MW_TP2_08-01-10_CellB
CI_1061,WW.NE2.WW2.Eff.7.10.67,MW_TP2_07-10-10_Effluent
CJ_1062,WW.NE2.WW2.Eff.8.10.72,MW_TP2_08-01-10_Effluent
CK_1063,WW.NE2.WW2.Inf.7.10.66,MW_TP2_07-10-10_Influent
EZ_1130,WW.NE2.WW2.Influent.8.10.70,MW_TP2_08-01-10_Influent
CN_1066,WW.Pond.4,MA_SI1_05-21-09_HoldingPondInlet
CO_1067,WW.SI.10.09.BUV.21.16hr,MA_SI1_10-27-09_BeforeUVTreatment
CP_1068,WW.SI.10.09.BUV.21.plus16hr,MA_SI1_10-27-09_BeforeUVTreatment
CQ_1069,WW.SI1.08.09.1Inf.10,MA_TP1_08-17-09_RawInfluent
CR_1070,WW.SI1.08.09.1Inf.Inf10dil,MA_TP1_08-17-09_RawInfluent
EO_1119,WW.SI1.08.09.1Inf.10dil,MA_TP1_08-17-09_RawInfluent
CS_1071,WW.SI1.08.09.2Inf.11,MA_TP1_08-17-09_PostScreeningInfluent
CT_1072,WW.SI1.08.09.2Inf.11dil,MA_TP1_08-17-09_PostScreeningInfluent
CU_1073,WW.SI1.08.09.AUV.14,MA_SI1_08-17-09_AfterUVTreatment
CV_1074,WW.SI1.08.09.BUV.13,MA_SI1_08-17-09_BeforeUVTreatment
CW_1075,WW.SI1.08.09.Eff.12,MA_TP1_08-17-09_Effluent
CX_1076,WW.SI1.08.09.IPH.16,MA_SI1_08-17-09_PumpHouseInlet
CY_1077,WW.SI1.0809.Pond.15,MA_SI1_08-17-09_HoldingPondInlet
CZ_1078,WW.SI1.10.09.AUV.22.16hr,MA_SI1_10-27-09_AfterUVTreatment
DA_1079,WW.SI1.10.09.AUV.22.plus16hr,MA_SI1_10-27-09_AfterUVTreatment
DB_1080,WW.SI1.10.09.IPH.24,MA_SI1_10-27-09_PumpHouseInlet
DC_1081,WW.SI1.10.09.Pond.23,MA_SI1_10-27-09_HoldingPondInlet
DD_1082,WW.SI1.6.22.10.AUV1.31,MA_SI1_06-22-10_AfterUVTreatment
DE_1083,WW.SI1.6.22.10.AUV2.32,MA_SI1_06-22-10_AfterUVTreatment
DF_1084,WW.SI1.6.22.10.BUV1.29,MA_SI1_06-22-10_BeforeUVTreatment
DG_1085,WW.SI1.6.22.10.BUV2.30,MA_SI1_06-22-10_BeforeUVTreatment
DH_1086,WW.SI1.6.22.10.IPH1.35,MA_SI1_06-22-10_PumpHouseInlet
DI_1087,WW.SI1.6.22.10.IPH2.36,MA_SI1_06-22-10_PumpHouseInlet
DJ_1088,WW.SI1.6.22.10.Pond1.33,MA_SI1_06-22-10_HoldingPondInlet
DK_1089,WW.SI1.6.22.10.Pond2.34,MA_SI1_06-22-10_HoldingPondInlet
DL_1090,WW.SI1.7.19.10.AUV1.39,MA_SI1_07-19-10_AfterUVTreatment
DM_1091,WW.SI1.7.19.10.AUV2.40,MA_SI1_07-19-10_AfterUVTreatment
DN_1092,WW.SI1.7.19.10.BUV1.37,MA_SI1_07-19-10_BeforeUVTreatment
DO_1093,WW.SI1.7.19.10.BUV2.38,MA_SI1_07-19-10_BeforeUVTreatment
DP_1094,WW.SI1.7.19.10.IPH1.43,MA_SI1_07-19-10_PumpHouseInlet
DQ_1095,WW.SI1.7.19.10.IPH2.44,MA_SI1_07-19-10_PumpHouseInlet
DR_1096,WW.SI1.7.19.10.Pond2.42,MA_SI1_07-19-10_HoldingPondInlet
EQ_1121,WW.SI1.7.19.10.Pond1.41,MA_SI1_07-19-10_HoldingPondInlet
DS_1097,WW.SI1.9.2.10.AUV1.47,MA_SI1_09-02-10_AfterUVTreatment
DT_1098,WW.SI1.9.2.10.IPH1.51,MA_SI1_09-02-10_PumpHouseInlet
DU_1099,WW.SI1.9.2.10.IPH2.52,MA_SI1_09-02-10_PumpHouseInlet
DV_1100,WW.SI1.9.2.10.Pond2.50,MA_SI1_09-02-10_HoldingPondInlet
ET_1124,WW.SI1.9.2.10.A.UV2.48,MA_SI1_09-02-10_AfterUVTreatment
ER_1122,WW.SI1.9.2.10.B.UV1.45,MA_SI1_09-02-10_BeforeUVTreatment
ES_1123,WW.SI1.9.2.10.B.UV2.46,MA_SI1_09-02-10_BeforeUVTreatment
EU_1125,WW.SI1.9.2.10.Pond1.49,MA_SI1_09-02-10_HoldingPondInlet
DW_1101,WW.WW1.10.09.1Inf.Inf17dil,MA_TP1_10-22-09_RawInfluent
EP_1120,WW.WW1.10.09.1Inf.Inf17,MA_TP1_10-22-09_RawInfluent
DX_1102,WW.WW1.10.09.2Clar.19combo,MA_TP1_10-22-09_SecondaryClarifier
DY_1103,WW.WW1.10.09.ASR.18,MA_TP1_10-22-09_ActivatedSludgeReactor
DZ_1104,WW.WW1.10.09.Eff20combo,MA_TP1_10-22-09_Effluent
EA_1105,WW.WW1.12.09.1Inf.25,MA_TP1_12-08-09_RawInfluent
EB_1106,WW.WW1.12.09.2Clar.27combo,MA_TP1_12-08-09_SecondaryClarifier
EC_1107,WW.WW1.12.09.ASR.26,MA_TP1_12-08-09_ActivatedSludgeReactor
ED_1108,WW.WW1.12.09.Eff.28combo,MA_TP1_12-08-09_Effluent
EE_1109,WW.WW2.10.10.2Clar1.57.16hr,MA_TP2_10-19-10_SecondaryClarifier
EF_1110,WW.WW2.10.10.2Clar1.57.plus16hr,MA_TP2_10-19-10_SecondaryClarifier
EG_1111,WW.WW2.10.10.2Clar2.58.16hr,MA_TP2_10-19-10_SecondaryClarifier
EH_1112,WW.WW2.10.10.2Clar2.58.plus16hr,MA_TP2_10-19-10_SecondaryClarifier
EI_1113,WW.WW2.10.10.ASR1.55dil,MA_TP2_10-19-10_ActivatedSludgeReactor
EV_1126,WW.WW2.10.10.ASR1.55,MA_TP2_10-19-10_ActivatedSludgeReactor
EJ_1114,WW.WW2.10.10.ASR2.56dil,MA_TP2_10-19-10_ActivatedSludgeReactor
EW_1127,WW.WW2.10.10.ASR2.56,MA_TP2_10-19-10_ActivatedSludgeReactor
EK_1115,WW.WW2.10.10.Eff1.59,MA_TP2_10-19-10_Effluent
EL_1116,WW.WW2.10.10.Inf1.53,MA_TP2_10-19-10_RawInfluent
EM_1117,WW.WW2.10.10.Inf2.54,MA_TP2_10-19-10_RawInfluent
EX_1128,WW2.10.10.Eff2.60,MA_TP2_10-19-10_Effluent
