Center,total_abu,family,genus,species_group,species,subspecies,below_subspecies,genus_conf,species_conf
473852,11677,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
396,4868,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
2556,3450,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
473853,2985,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
473855,2746,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
474690,2275,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
474913,2219,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
481586,2186,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
16967,2091,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
473857,1912,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
480957,1843,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
480412,1591,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
481318,1566,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
1987,1538,Legionellaceae,Legionella,NA,Legionella sp.,NA,NA,1,0.9888
474642,1382,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium confluentis,NA,NA,1,0.9855
480959,1310,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
480955,1238,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
16982,989,Legionellaceae,Legionella,NA,Legionella sp.,NA,NA,1,1
16617,960,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
32814,859,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
16961,830,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
376124,654,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
4820,588,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
40098,534,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
20085,507,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
500731,426,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
456929,400,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium gordonae,NA,NA,1,1
478321,389,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
49984,374,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
17008,325,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
35610,317,Legionellaceae,Legionella,NA,Legionella shakespearei,NA,NA,1,1
489656,299,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
58043,287,Legionellaceae,Legionella,NA,Legionella feeleii,NA,NA,1,1
1979,286,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
38057,284,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
481317,269,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
493881,258,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
484792,256,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
500835,256,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium holsaticum,NA,NA,1,1
481585,250,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium phlei,NA,NA,1,0.9855
16962,234,Legionellaceae,Legionella,NA,Legionella shakespearei,NA,NA,1,1
16770,227,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
574733,204,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
480946,197,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
16773,180,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
59167,177,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
56714,168,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
41624,166,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
36006,165,Coxiellaceae,Coxiella,NA,Coxiella burnetii,NA,NA,1,1
58153,161,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
38053,160,Legionellaceae,Legionella,NA,NA,NA,NA,0.9515,NA
574765,154,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
1986,153,Legionellaceae,Legionella,NA,Legionella feeleii,NA,NA,1,1
480942,152,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
58068,148,Legionellaceae,Legionella,NA,Legionella feeleii,NA,NA,1,1
484784,148,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
493795,146,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
457700,135,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
51370,134,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
51358,114,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
481914,112,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
457706,111,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
17006,110,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58137,109,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
58140,109,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
35156,104,Legionellaceae,Legionella,NA,NA,NA,NA,0.9864,NA
38649,103,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
48611,94,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
35437,88,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
484783,88,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
484776,86,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502010,86,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
16946,79,Legionellaceae,Legionella,NA,Legionella shakespearei,NA,NA,1,1
484778,77,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
51376,75,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58428,75,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58055,73,Legionellaceae,Legionella,NA,Legionella lytica,NA,NA,1,1
59643,72,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58869,71,Legionellaceae,Legionella,NA,NA,NA,NA,0.9927,NA
491763,69,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium gadium,NA,NA,1,0.9608
36834,67,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
57657,65,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58152,65,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
51360,61,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58106,60,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
484605,56,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
51366,55,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
58063,55,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
58993,54,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
16970,52,Legionellaceae,Legionella,NA,Legionella tucsonensis,NA,NA,1,1
38054,52,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
51361,52,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
49732,51,Legionellaceae,Legionella,NA,Legionella dresdenensis,NA,NA,1,0.9609
59210,51,Legionellaceae,Legionella,NA,NA,NA,NA,0.9685,NA
54715,50,Legionellaceae,Legionella,NA,Legionella shakespearei,NA,NA,1,0.9895
58124,49,Legionellaceae,Legionella,NA,NA,NA,NA,0.9725,NA
136696,49,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
51362,48,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
39139,47,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
43043,47,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
480962,47,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
481316,46,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
484771,45,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
500860,45,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
194345,41,Coxiellaceae,Coxiella,NA,Coxiella burnetii,NA,NA,1,1
54726,40,Legionellaceae,Legionella,NA,Legionella pneumophila,Legionella pneumophila subsp. pneumophila,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,1,1
57656,40,Legionellaceae,Legionella,NA,Legionella waltersii,NA,NA,1,1
40104,39,Legionellaceae,Legionella,NA,Legionella lytica,NA,NA,1,1
58157,38,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
50095,37,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
484779,37,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
49734,36,Legionellaceae,Legionella,NA,Legionella worsleiensis,NA,NA,1,0.9586
484786,36,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
59916,34,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
59917,34,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
501881,34,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
54719,33,Legionellaceae,Legionella,NA,Legionella lytica,NA,NA,1,1
57641,33,Legionellaceae,Legionella,NA,Legionella shakespearei,NA,NA,1,1
58111,33,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
484795,33,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium brisbanense,NA,NA,1,0.9697
484804,33,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
491052,33,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
501673,33,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
58108,32,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
59600,32,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
447059,32,Mycobacteriaceae,Mycobacterium,Mycobacterium terrae complex,NA,NA,NA,1,NA
500745,32,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium confluentis,NA,NA,1,1
58158,31,Legionellaceae,Legionella,NA,Legionella quinlivanii,NA,NA,1,1
457707,31,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium gordonae,NA,NA,1,1
501806,31,Microbacteriaceae,NA,NA,NA,NA,NA,NA,NA
58212,30,Legionellaceae,Legionella,NA,Legionella massiliensis,NA,NA,1,1
493389,30,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
501758,29,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
57664,28,Legionellaceae,Legionella,NA,Legionella shakespearei,NA,NA,1,1
59682,28,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
473854,28,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
50341,27,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
51230,27,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
51325,27,Legionellaceae,Legionella,NA,NA,NA,NA,0.9817,NA
54729,27,Legionellaceae,Legionella,NA,NA,NA,NA,0.9886,NA
57643,27,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
480947,27,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
484788,27,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502426,27,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
641183,27,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
58142,26,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
494832,26,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
137652,25,Legionellaceae,Legionella,NA,NA,NA,NA,0.9788,NA
493773,24,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
500762,23,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium hodleri,NA,NA,1,1
16772,22,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58078,22,Legionellaceae,Legionella,NA,Legionella cherrii,NA,NA,1,1
58151,22,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
186573,22,Coxiellaceae,Coxiella,NA,Coxiella burnetii,NA,NA,1,1
38646,21,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
502008,21,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
38060,20,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
51369,20,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
57654,20,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
59705,20,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
59742,20,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
502712,20,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
57651,19,Legionellaceae,Legionella,NA,Legionella feeleii,NA,NA,1,1
493814,19,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
51378,18,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58155,16,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
59199,16,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
500764,15,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
501897,15,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
16958,14,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
494829,14,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium phocaicum,NA,NA,1,0.9945
503497,14,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
59788,13,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
500434,13,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502745,13,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
453126,12,Mycobacteriaceae,Mycobacterium,Mycobacterium terrae complex,NA,NA,NA,1,NA
500761,12,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
51407,11,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
59713,11,Legionellaceae,Legionella,NA,Legionella geestiana,NA,NA,0.969,0.969
361669,11,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
491053,11,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502449,11,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
490136,10,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502115,10,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
445312,9,Mycobacteriaceae,Mycobacterium,Mycobacterium terrae complex,Mycobacterium terrae,NA,NA,1,0.9981
501997,9,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502451,9,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium phocaicum,NA,NA,1,1
361729,8,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
490293,8,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502052,8,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
504795,8,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
57926,7,Legionellaceae,Legionella,NA,Legionella lytica,NA,NA,1,1
58114,7,Legionellaceae,Legionella,NA,Legionella sp.,NA,NA,1,1
139232,7,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
503350,7,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium llatzerense,NA,NA,1,0.9604
16947,6,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
38650,6,Legionellaceae,Legionella,NA,Legionella nautarum,NA,NA,1,0.9857
58169,6,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
361667,6,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
484798,6,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
501757,6,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium aubagnense,NA,NA,1,1
502326,6,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502388,6,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
361739,5,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
500737,5,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
502041,5,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
504812,5,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
58219,4,Legionellaceae,Legionella,NA,NA,NA,NA,1,NA
453156,4,Mycobacteriaceae,Mycobacterium,Mycobacterium terrae complex,Mycobacterium arupense,NA,NA,1,1
502445,4,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
58755,3,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
361750,3,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
493677,3,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
504747,3,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
509979,3,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
57762,2,Legionellaceae,Legionella,NA,Legionella shakespearei,NA,NA,1,1
361672,2,Mycobacteriaceae,Mycobacterium,NA,NA,NA,NA,1,NA
38055,1,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
1988,0,Legionellaceae,Legionella,NA,NA,NA,NA,0.9742,NA
51259,0,Legionellaceae,NA,NA,NA,NA,NA,NA,NA
58175,0,Legionellaceae,Legionella,NA,Legionella drancourtii,NA,NA,1,1
